year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2010,Alamo Square,291.1829455,372560,1239
2010,Anza Vista,267.9325827,372560,1239
2010,Bayview,170.0986654,372560,1239
2010,Buena Vista Park,347.3949194,372560,1239
2010,Central Richmond,319.0276226,372560,1239
2010,Central Sunset,418.1724927,372560,1239
2010,Corona Heights,369.359338,372560,1239
2010,Cow Hollow,569.3799679,372560,1239
2010,Croker Amazon,165.6457301,372560,1239
2010,Diamond Heights,456.9308222,372560,1239
2010,Downtown ,241.8045521,372560,1239
2010,Eureka Valley/Dolores Heights,403.1183126,372560,1239
2010,Excelsior,364.9283357,372560,1239
2010,Financial District North,401.7499666,372560,1239
2010,Financial District South,162.82121,372560,1239
2010,Forest Knolls,209.0493266,372560,1239
2010,Glen Park,715.5864381,372560,1239
2010,Golden Gate Heights,551.8011188,372560,1239
2010,Haight Ashbury,254.4737791,372560,1239
2010,Hayes Valley,272.2849796,372560,1239
2010,Hunters Point,170.6249199,372560,1239
2010,Ingleside ,275.0566856,372560,1239
2010,Inner Mission,238.3500204,372560,1239
2010,Inner Parkside,199.7020038,372560,1239
2010,Inner Richmond,285.8223585,372560,1239
2010,Inner Sunset,275.7697296,372560,1239
2010,Jordan Park/Laurel Heights,419.8878119,372560,1239
2010,Lake --The Presidio,320.7969105,372560,1239
2010,Lone Mountain,398.458876,372560,1239
2010,Lower Pacific Heights,374.057636,372560,1239
2010,Marina,387.3928395,372560,1239
2010,Miraloma Park,680.6087291,372560,1239
2010,Mission Bay,489.8053778,372560,1239
2010,Mission Dolores,257.9879986,372560,1239
2010,Mission Terrace,262.8760256,372560,1239
2010,Nob Hill,307.6774767,372560,1239
2010,Noe Valley,381.1384451,372560,1239
2010,Oceanview,282.1196705,372560,1239
2010,Outer Parkside,432.1952921,372560,1239
2010,Outer Richmond ,338.1262,372560,1239
2010,Outer Sunset,368.311552,372560,1239
2010,Pacific Heights,496.5160141,372560,1239
2010,Park North,326.0171504,372560,1239
2010,Parkside,274.1667416,372560,1239
2010,Parnassus/Ashbury Heights,434.2550039,372560,1239
2010,Portola,302.1561132,372560,1239
2010,Potrero Hill,491.4500039,372560,1239
2010,Presidio Heights,549.4179312,372560,1239
2010,Russian Hill,362.3482239,372560,1239
2010,South Beach,1037.099789,372560,1239
2010,South of Market,401.2959765,372560,1239
2010,Sunnyside,542.531682,372560,1239
2010,Telegraph Hill,524.7935091,372560,1239
2010,Twin Peaks,331.5559961,372560,1239
2010,Union Square District,569.1934475,372560,1239
2010,Van Ness/ Civic Center,108.0129269,372560,1239
2010,West Portal,392.3007642,372560,1239
2010,Western Addition,215.5691343,372560,1239
2010,Yerba Buena,333.1267738,372560,1239
2011,Alamo Square,272.5273102,374507,1530
2011,Bayview,172.5405624,374507,1530
2011,Bernal Heights ,471.9217321,374507,1530
2011,Buena Vista Park,171.7723467,374507,1530
2011,Central Richmond,261.6638003,374507,1530
2011,Central Sunset,391.4264497,374507,1530
2011,Clarendon Heights,520.7181675,374507,1530
2011,Corona Heights,222.567848,374507,1530
2011,Cow Hollow,390.595653,374507,1530
2011,Croker Amazon,145.8533803,374507,1530
2011,Diamond Heights,382.3522611,374507,1530
2011,Downtown ,234.2816235,374507,1530
2011,Duboce Triangle,295.7793782,374507,1530
